Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
541305,564,FALSE,Rx,1,8,7,6,0,0,F9,27,37,0
1541339,564,FALSE,Rx,1,8,63,7,0,0,F9,27,37,0
2541365,564,FALSE,Rx,1,8,21,8,0,0,F9,27,37,0
4929833,564,FALSE,Rx,1,8,21,8,0,0,F9,27,37,0
5034671,564,FALSE,Rx,1,8,45,9,0,0,F9,27,37,0
5139840,564,FALSE,Rx,1,8,E9,0A,0,0,F9,27,37,0
5244678,564,FALSE,Rx,1,8,8D,0B,0,0,F9,27,37,0
5349838,564,FALSE,Rx,1,8,9E,0C,0,0,F9,27,37,0
5454691,564,FALSE,Rx,1,8,FA,0D,0,0,F9,27,37,0
6394940,564,FALSE,Rx,1,8,56,0E,0,0,F9,27,37,0
7394971,564,FALSE,Rx,1,8,32,0F,0,0,F9,27,37,0
8395005,564,FALSE,Rx,1,8,70,0,0,0,F9,27,37,0
10833427,564,FALSE,Rx,1,8,40,1,0,1,F9,27,37,0
10938261,564,FALSE,Rx,1,8,EC,2,0,1,F9,27,37,0
11043418,564,FALSE,Rx,1,8,88,3,0,1,F9,27,37,0
11148481,564,FALSE,Rx,1,8,9B,4,0,1,F9,27,37,0
11253445,564,FALSE,Rx,1,8,FF,5,0,1,F9,27,37,0
12248518,564,FALSE,Rx,1,8,53,6,0,1,F9,27,37,0
13248556,564,FALSE,Rx,1,8,37,7,0,1,F9,27,37,0
14248586,564,FALSE,Rx,1,8,75,8,0,1,F9,27,37,0
16746984,564,FALSE,Rx,1,8,40,1,0,1,F9,27,37,0
16851825,564,FALSE,Rx,1,8,EC,2,0,1,F9,27,37,0
16956982,564,FALSE,Rx,1,8,88,3,0,1,F9,27,37,0
17062055,564,FALSE,Rx,1,8,9B,4,0,1,F9,27,37,0
17167023,564,FALSE,Rx,1,8,FF,5,0,1,F9,27,37,0
18162082,564,FALSE,Rx,1,8,53,6,0,1,F9,27,37,0
19162121,564,FALSE,Rx,1,8,37,7,0,1,F9,27,37,0
20162149,564,FALSE,Rx,1,8,75,8,0,1,F9,27,37,0
22590540,564,FALSE,Rx,1,8,21,8,0,0,F9,27,37,0
22695370,564,FALSE,Rx,1,8,11,9,0,1,F9,27,37,0
22800537,564,FALSE,Rx,1,8,BD,0A,0,1,F9,27,37,0
22905373,564,FALSE,Rx,1,8,D9,0B,0,1,F9,27,37,0
23010545,564,FALSE,Rx,1,8,CA,0C,0,1,F9,27,37,0
23115379,564,FALSE,Rx,1,8,AE,0D,0,1,F9,27,37,0
24055641,564,FALSE,Rx,1,8,2,0E,0,1,F9,27,37,0
25055669,564,FALSE,Rx,1,8,66,0F,0,1,F9,27,37,0
26055702,564,FALSE,Rx,1,8,24,0,0,1,F9,27,37,0
28734180,564,FALSE,Rx,1,8,40,1,0,1,F9,27,37,0
28839014,564,FALSE,Rx,1,8,EC,2,0,1,F9,27,37,0
28944179,564,FALSE,Rx,1,8,88,3,0,1,F9,27,37,0
29049238,564,FALSE,Rx,1,8,9B,4,0,1,F9,27,37,0
29154201,564,FALSE,Rx,1,8,FF,5,0,1,F9,27,37,0
30149273,564,FALSE,Rx,1,8,53,6,0,1,F9,27,37,0
