Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
321340,1BFE2219,TRUE,Rx,0,8,0,0,0,0,0,0,0,0
321640,1BFE221B,TRUE,Rx,0,8,0,0,0,0,0,0,0,0
321980,1BFE221C,TRUE,Rx,0,8,0,0,3F,0,0,0,0,0
322280,1BFE221E,TRUE,Rx,0,8,7D,1,0,0,0,0,0,0
322620,1BFE2222,TRUE,Rx,0,8,0,0,58,0,7E,1C,0,0
322920,1BFE2223,TRUE,Rx,0,8,11,1,0,0,0,0,0,0
323260,1BFE2225,TRUE,Rx,0,8,0,0,0,0,0,0,0,0
323560,1BFE2227,TRUE,Rx,0,8,0,0,0,0,0,4,0,0
323860,1BFE2232,TRUE,Rx,0,8,0,0,0,0,0,0,0,0
324200,1BFE2235,TRUE,Rx,0,8,81,4,0,0,0,0,0,0
324540,1BFE2238,TRUE,Rx,0,8,0,0,32,0,1,1,0,0
324840,1BFE2239,TRUE,Rx,0,8,0,1,1,0,0,0,0,0
325140,1BFE223A,TRUE,Rx,0,8,4,1,0,0,63,0,0,0
325480,1BFE223B,TRUE,Rx,0,8,12,0,0,0,0,0,0,0
325820,1BFE223C,TRUE,Rx,0,8,22,0,0,0,0,0,0,0
326120,1BFE223D,TRUE,Rx,0,8,0,0,0,0,0,0,0,5C
326460,1BFE2248,TRUE,Rx,0,8,0,0,0,0,0,0,0,0
399890,0000038B,FALSE,Rx,0,8,0,0,0,0,0,0,0,0
419770,1BFE221A,TRUE,Rx,0,8,0,A5,0,0,7E,0,0,0
420070,1BFE2207,TRUE,Rx,0,8,46,0,0,88,0,2A,1,4
420370,1BFE2215,TRUE,Rx,0,8,60,97,9E,80,80,80,AA,9A
420710,1BFE2216,TRUE,Rx,0,8,0,0,0,0,0,0,BF,FA
421010,1BFE2217,TRUE,Rx,0,8,0,0,CD,B4,A5,0,0,0
421310,1BFE2218,TRUE,Rx,0,8,0,0,0,0,0,0,0,0
421600,1BFE2219,TRUE,Rx,0,8,0,0,0,0,0,0,0,0
421950,1BFE221B,TRUE,Rx,0,8,0,0,0,0,0,0,0,0
422240,1BFE221C,TRUE,Rx,0,8,0,0,3F,0,0,0,0,0
422590,1BFE221E,TRUE,Rx,0,8,7D,1,0,0,0,0,0,0
422880,1BFE2222,TRUE,Rx,0,8,0,0,58,0,7E,1C,0,0
423180,1BFE2223,TRUE,Rx,0,8,11,1,0,0,0,0,0,0
423520,1BFE2225,TRUE,Rx,0,8,0,0,0,0,0,0,0,0
423820,1BFE2227,TRUE,Rx,0,8,0,0,0,0,0,4,0,0
424160,1BFE2232,TRUE,Rx,0,8,0,0,0,0,0,0,0,0
424460,1BFE2235,TRUE,Rx,0,8,81,4,0,0,0,0,0,0
424800,1BFE2238,TRUE,Rx,0,8,0,0,32,0,1,1,0,0
425100,1BFE2239,TRUE,Rx,0,8,0,1,1,0,0,0,0,0
425440,1BFE223A,TRUE,Rx,0,8,4,1,0,0,59,0,0,0
425740,1BFE223B,TRUE,Rx,0,8,8,0,0,0,0,0,0,0
426080,1BFE223C,TRUE,Rx,0,8,22,0,0,0,0,0,0,0
426380,1BFE223D,TRUE,Rx,0,8,0,0,0,0,0,0,0,5C
426720,1BFE2248,TRUE,Rx,0,8,0,0,0,0,0,0,0,0
499890,0000038B,FALSE,Rx,0,8,0,0,0,0,0,0,0,0
519770,1BFE221A,TRUE,Rx,0,8,0,A5,0,0,7E,0,0,0
520070,1BFE2209,TRUE,Rx,0,8,0,0,1,0,10,A1,12,0
520370,1BFE2215,TRUE,Rx,0,8,60,97,9E,80,80,80,AA,9A
520670,1BFE2216,TRUE,Rx,0,8,0,0,0,0,0,0,BF,FA
520970,1BFE2217,TRUE,Rx,0,8,0,0,CD,B4,A5,0,0,0
521310,1BFE2218,TRUE,Rx,0,8,0,0,0,0,0,0,0,0
521610,1BFE2219,TRUE,Rx,0,8,0,0,0,0,0,0,0,0
521950,1BFE221B,TRUE,Rx,0,8,0,0,0,0,0,0,0,0
522250,1BFE221C,TRUE,Rx,0,8,0,0,3F,0,0,0,0,0
522550,1BFE221E,TRUE,Rx,0,8,7D,1,0,0,0,0,0,0
522890,1BFE2222,TRUE,Rx,0,8,0,0,58,0,7E,1C,0,0
523190,1BFE2223,TRUE,Rx,0,8,11,1,0,0,0,0,0,0
523490,1BFE2225,TRUE,Rx,0,8,0,0,0,0,0,0,0,0
523830,1BFE2227,TRUE,Rx,0,8,0,0,0,0,0,4,0,0
