Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
321730,1BFE221B,TRUE,Rx,0,8,0,0,0,0,0,0,0,0
322030,1BFE221C,TRUE,Rx,0,8,0,0,3F,0,0,0,0,0
322320,1BFE221E,TRUE,Rx,0,8,7D,1,0,0,0,0,0,0
322670,1BFE2222,TRUE,Rx,0,8,0,0,58,0,7E,1C,0,0
322960,1BFE2223,TRUE,Rx,0,8,11,1,0,0,0,0,0,0
323310,1BFE2225,TRUE,Rx,0,8,0,0,0,0,0,0,0,0
323600,1BFE2227,TRUE,Rx,0,8,0,0,0,0,0,4,0,0
323950,1BFE2232,TRUE,Rx,0,8,0,0,0,0,0,0,0,0
324240,1BFE2235,TRUE,Rx,0,8,81,4,0,0,0,0,0,0
324590,1BFE2238,TRUE,Rx,0,8,0,0,32,0,1,1,0,0
324880,1BFE2239,TRUE,Rx,0,8,0,1,1,0,0,0,0,0
325230,1BFE223A,TRUE,Rx,0,8,4,1,0,0,5D,0,0,0
325520,1BFE223B,TRUE,Rx,0,8,0C,0,0,0,0,0,0,0
325870,1BFE223C,TRUE,Rx,0,8,22,0,0,0,0,0,0,0
326160,1BFE223D,TRUE,Rx,0,8,0,0,0,0,0,0,0,5C
326510,1BFE2248,TRUE,Rx,0,8,0,0,0,0,0,0,0,0
399960,0000038B,FALSE,Rx,0,8,0,0,0,0,0,0,0,0
419880,1BFE221A,TRUE,Rx,0,8,0,A5,0,0,7E,0,0,0
420180,1BFE2215,TRUE,Rx,0,8,60,97,9E,80,80,80,AA,9A
420480,1BFE2216,TRUE,Rx,0,8,0,0,0,0,0,0,C0,FA
420780,1BFE2217,TRUE,Rx,0,8,0,0,CD,B4,A5,0,0,0
421120,1BFE2218,TRUE,Rx,0,8,0,0,0,0,0,0,0,0
421420,1BFE2219,TRUE,Rx,0,8,0,0,0,0,0,0,0,0
421720,1BFE221B,TRUE,Rx,0,8,0,0,0,0,0,0,0,0
422060,1BFE221C,TRUE,Rx,0,8,0,0,3F,0,0,0,0,0
422360,1BFE221E,TRUE,Rx,0,8,7D,1,0,0,0,0,0,0
422700,1BFE2222,TRUE,Rx,0,8,0,0,58,0,7E,1C,0,0
423000,1BFE2223,TRUE,Rx,0,8,11,1,0,0,0,0,0,0
423300,1BFE2225,TRUE,Rx,0,8,0,0,0,0,0,0,0,0
423640,1BFE2227,TRUE,Rx,0,8,0,0,0,0,0,4,0,0
423940,1BFE2232,TRUE,Rx,0,8,0,0,0,0,0,0,0,0
424280,1BFE2235,TRUE,Rx,0,8,81,4,0,0,0,0,0,0
424580,1BFE2238,TRUE,Rx,0,8,0,0,32,0,1,1,0,0
424920,1BFE2239,TRUE,Rx,0,8,0,1,1,0,0,0,0,0
425220,1BFE223A,TRUE,Rx,0,8,4,1,0,0,53,0,0,0
425560,1BFE223B,TRUE,Rx,0,8,2,0,0,0,0,0,0,0
