Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8,,
320490,1BFE2215,TRUE,Rx,0,8,60,97,9E,80,80,80,AA,9A,,
320790,1BFE2216,TRUE,Rx,0,8,0,0,0,0,0,0,C0,FA,,
321080,1BFE2217,TRUE,Rx,0,8,0,0,CD,B4,A5,0,0,0,,
321380,1BFE2218,TRUE,Rx,0,8,0,0,0,0,0,0,0,0,,
321720,1BFE2219,TRUE,Rx,0,8,0,0,0,0,0,0,0,0,,
322020,1BFE221B,TRUE,Rx,0,8,0,0,0,0,0,0,0,0,,
322320,1BFE221C,TRUE,Rx,0,8,0,0,3F,0,0,0,0,0,,
322660,1BFE221E,TRUE,Rx,0,8,7D,1,0,0,0,0,0,0,,
322960,1BFE2222,TRUE,Rx,0,8,0,0,58,0,7E,1C,0,0,,
323260,1BFE2223,TRUE,Rx,0,8,11,1,0,0,0,0,0,0,,
323600,1BFE2225,TRUE,Rx,0,8,0,0,0,0,0,0,0,0,,
323900,1BFE2227,TRUE,Rx,0,8,0,0,0,0,0,4,0,0,,
324240,1BFE2232,TRUE,Rx,0,8,0,0,0,0,0,0,0,0,,
324540,1BFE2235,TRUE,Rx,0,8,81,4,0,0,0,0,0,0,,
324880,1BFE2238,TRUE,Rx,0,8,0,0,32,0,1,1,0,0,,
325180,1BFE2239,TRUE,Rx,0,8,0,1,1,0,0,0,0,0,,
325520,1BFE223A,TRUE,Rx,0,8,4,1,0,0,51,0,6,0,,
325820,1BFE223B,TRUE,Rx,0,8,14,0,0,0,0,0,0,0,,
326160,1BFE223C,TRUE,Rx,0,8,22,0,0,0,0,0,0,0,,
326500,1BFE223D,TRUE,Rx,0,8,0,0,0,0,0,0,0,5C,,
326800,1BFE2248,TRUE,Rx,0,8,0,0,0,0,0,0,0,0,,
399970,0000038B,FALSE,Rx,0,8,0,0,0,0,0,0,0,0,,
419850,1BFE221A,TRUE,Rx,0,8,0,A5,0,0,7E,0,0,0,,
420150,1BFE2206,TRUE,Rx,0,8,46,0,0,86,0,8,2,4,,
420450,1BFE2215,TRUE,Rx,0,8,60,97,9E,80,80,80,AA,9A,,
420750,1BFE2216,TRUE,Rx,0,8,0,0,0,0,0,0,BF,FA,,
421090,1BFE2217,TRUE,Rx,0,8,0,0,CD,B5,A6,0,0,0,,
421390,1BFE2218,TRUE,Rx,0,8,0,0,0,0,0,0,0,0,,
421690,1BFE2219,TRUE,Rx,0,8,0,0,0,0,0,0,0,0,,
422030,1BFE221B,TRUE,Rx,0,8,0,0,0,0,0,0,0,0,,
422330,1BFE221C,TRUE,Rx,0,8,0,0,3F,0,0,0,0,0,,
422670,1BFE221E,TRUE,Rx,0,8,7D,1,0,0,0,0,0,0,,
422970,1BFE2222,TRUE,Rx,0,8,0,0,58,0,7E,1C,0,0,,
423260,1BFE2223,TRUE,Rx,0,8,11,1,0,0,0,0,0,0,,
423610,1BFE2225,TRUE,Rx,0,8,0,0,0,0,0,0,0,0,,
423900,1BFE2227,TRUE,Rx,0,8,0,0,0,0,0,4,0,0,,
424250,1BFE2232,TRUE,Rx,0,8,0,0,0,0,0,0,0,0,,
424540,1BFE2235,TRUE,Rx,0,8,81,4,0,0,0,0,0,0,,
424890,1BFE2238,TRUE,Rx,0,8,0,0,32,0,1,1,0,0,,
425230,1BFE2239,TRUE,Rx,0,8,0,1,1,0,0,0,0,0,,
425530,1BFE223A,TRUE,Rx,0,8,4,1,0,0,5B,0,0,0,,
425870,1BFE223B,TRUE,Rx,0,8,0A,0,0,0,0,0,0,0,,
426170,1BFE223C,TRUE,Rx,0,8,22,0,0,0,0,0,0,0,,
426510,1BFE223D,TRUE,Rx,0,8,0,0,0,0,0,0,0,5C,,
426810,1BFE2248,TRUE,Rx,0,8,0,0,0,0,0,0,0,0,,
499930,0000038B,FALSE,Rx,0,8,0,0,0,0,0,0,0,0,,
519860,1BFE221A,TRUE,Rx,0,8,0,A6,0,0,7E,0,0,0,,
